year, month, day, tmax, tavg, tmin, humid, wind, sunshine, rainfall, snow, cloud
2022, 1, 1, 2.7, -2.7, -8.9, 52.5, 0.8, 6.9, 0.0, 0.0, 4.4
2022, 1, 2, 6.6, 0.3, -4.2, 59.8, 1.3, 5.1, 0.0, 0.0, 2.1
2022, 1, 3, 3.8, -0.7, -5.6, 66.9, 1.2, 8.9, 0.0, 0.0, 1.1
2022, 1, 4, 5.2, 0.8, -2.5, 55.3, 1.6, 8.8, 0.0, 0.0, 2.9
2022, 1, 5, 3.3, 0.1, -3.7, 49.8, 0.6, 0.7, 0.0, 0.0, 9.0
2022, 1, 6, 5.3, 0.4, -3.6, 56.1, 1.1, 9.1, 0.0, 0.0, 0.4
2022, 1, 7, 4.8, -1.0, -6.1, 60.9, 1.2, 9.1, 0.0, 0.0, 0.0
2022, 1, 8, 6.5, 1.4, -5.7, 61.6, 1.3, 8.1, 0.0, 0.0, 3.1
2022, 1, 9, 6.9, 2.9, -1.2, 68.8, 1.2, 2.5, 0.0, 0.0, 5.3
2022, 1, 10, 7.5, 1.7, -3.2, 69.5, 1.4, 7.1, 0.0, 0.0, 4.5
2022, 1, 11, 1.9, -2.7, -6.0, 58.9, 3.3, 8.5, 0.3, 0.0, 3.8
2022, 1, 12, 1.2, -3.7, -7.6, 58.8, 1.8, 8.6, 0.0, 0.0, 3.4
2022, 1, 13, 0.5, -3.9, -6.1, 59.4, 2.5, 6.4, 0.1, 0.4, 3.0
2022, 1, 14, 2.3, -2.7, -8.3, 49.0, 1.1, 9.0, 0.0, 0.0, 2.6
2022, 1, 15, 7.3, 2.1, -3.6, 48.0, 0.8, 3.7, 0.0, 0.0, 7.4
2022, 1, 16, 5.7, 1.1, -3.7, 64.1, 2.9, 6.1, 0.4, 0.0, 4.6
2022, 1, 17, 2.4, -1.8, -5.7, 67.8, 1.9, 4.6, 0.0, 0.4, 5.5
2022, 1, 18, 1.6, -2.9, -7.1, 47.6, 1.4, 9.3, 0.0, 0.0, 0.0
2022, 1, 19, 6.6, -1.7, -7.8, 62.3, 1.9, 6.0, 0.2, 0.4, 3.6
2022, 1, 20, 2.4, -3.1, -8.3, 63.3, 1.4, 9.3, 0.0, 0.0, 0.0
2022, 1, 21, 6.7, -0.6, -7.3, 58.8, 1.2, 9.2, 0.0, 0.0, 2.5
2022, 1, 22, 9.0, 4.3, -0.3, 56.6, 0.8, 0.3, 0.0, 0.0, 8.8
2022, 1, 23, 8.8, 4.6, 1.4, 65.8, 0.8, 0.0, 0.0, 0.0, 7.3
2022, 1, 24, 9.9, 5.4, -0.4, 61.6, 1.2, 1.2, 0.0, 0.0, 7.1
2022, 1, 25, 6.4, 4.8, 2.6, 72.5, 1.2, 0.0, 0.4, 0.0, 9.3
2022, 1, 26, 6.8, 2.7, 0.2, 72.3, 1.1, 4.6, 0.0, 0.0, 6.8
2022, 1, 27, 6.1, 1.2, -2.1, 59.8, 1.5, 9.1, 0.0, 0.0, 2.9
2022, 1, 28, 4.3, -0.5, -4.6, 61.0, 1.3, 8.8, 0.0, 0.0, 4.4
2022, 1, 29, 3.9, -0.8, -4.0, 51.8, 1.5, 8.4, 0.0, 0.0, 6.6
2022, 1, 30, 3.9, -1.2, -5.1, 51.0, 1.3, 9.6, 0.0, 0.0, 3.5
2022, 1, 31, 5.7, -0.2, -6.5, 58.3, 1.5, 9.5, 0.4, 0.3, 1.1
2022, 2, 1, 3.1, 0.9, -0.3, 69.8, 2.6, 4.2, 0.8, 0.9, 7.0
2022, 2, 2, 4.1, 0.3, -2.3, 56.0, 1.7, 7.3, 0.0, 0.0, 4.0
2022, 2, 3, 4.4, -0.5, -4.6, 45.8, 1.9, 9.8, 0.0, 0.0, 2.5
2022, 2, 4, 2.9, -2.0, -4.3, 63.8, 2.0, 5.5, 0.5, 1.3, 7.6
2022, 2, 5, 0.1, -3.7, -6.6, 70.4, 2.3, 6.6, 0.1, 1.3, 5.1
2022, 2, 6, 2.6, -2.1, -6.9, 65.6, 1.8, 5.4, 0.0, 0.0, 3.5
2022, 2, 7, 2.4, -1.4, -5.8, 53.4, 1.4, 2.0, 0.0, 0.0, 5.5
2022, 2, 8, 6.6, 0.4, -4.8, 58.0, 1.2, 6.5, 0.0, 0.0, 3.9
2022, 2, 9, 8.3, 1.7, -4.5, 55.6, 1.2, 7.9, 0.0, 0.0, 5.6
2022, 2, 10, 8.8, 3.3, -0.1, 56.5, 1.5, 9.6, 0.0, 0.0, 2.1
2022, 2, 11, 10.6, 3.3, -3.5, 55.9, 1.4, 9.5, 0.0, 0.0, 2.9
2022, 2, 12, 12.6, 5.0, -1.1, 53.1, 1.4, 9.5, 0.0, 0.0, 2.8
2022, 2, 13, 12.1, 6.1, 1.1, 49.3, 1.4, 5.0, 0.0, 0.0, 5.3
2022, 2, 14, 11.7, 4.2, -0.7, 60.3, 2.4, 8.6, 0.0, 0.0, 4.6
2022, 2, 15, 1.8, -1.6, -4.9, 63.3, 3.7, 6.0, 0.0, 0.0, 7.0
2022, 2, 16, 0.1, -4.4, -6.3, 66.0, 2.4, 5.6, 0.7, 2.1, 5.5
2022, 2, 17, 1.0, -4.5, -8.8, 53.1, 1.8, 10.2, 0.0, 0.0, 1.3
2022, 2, 18, 7.6, 0.3, -8.3, 45.6, 1.3, 8.9, 0.0, 0.0, 3.9
2022, 2, 19, 5.5, 1.2, -2.8, 55.8, 2.3, 2.4, 0.0, 0.0, 8.5
2022, 2, 20, 1.6, -3.0, -6.3, 52.8, 2.9, 10.3, 0.0, 0.0, 0.5
2022, 2, 21, 5.7, -0.2, -6.1, 62.3, 2.4, 6.7, 0.1, 0.3, 1.9
2022, 2, 22, 3.5, -1.3, -5.2, 54.6, 2.2, 9.3, 0.0, 0.0, 3.1
2022, 2, 23, 1.9, -3.3, -6.6, 42.6, 2.1, 8.1, 0.0, 0.0, 4.5
2022, 2, 24, 5.2, -1.3, -7.4, 55.0, 1.8, 9.2, 0.0, 0.0, 1.6
2022, 2, 25, 10.4, 2.7, -4.6, 65.1, 1.8, 9.1, 0.0, 0.0, 0.9
2022, 2, 26, 13.2, 6.3, 0.2, 62.8, 3.0, 8.3, 0.2, 0.0, 3.5
2022, 2, 27, 10.9, 4.7, -0.9, 50.1, 1.8, 10.5, 0.0, 0.0, 0.0
2022, 2, 28, 15.0, 7.0, -0.6, 44.6, 1.3, 7.6, 0.0, 0.0, 5.6
2022, 3, 1, 10.6, 6.3, 1.3, 80.8, 2.0, 0.2, 5.4, 0.0, 9.0
2022, 3, 2, 9.0, 3.2, -2.2, 59.8, 2.0, 10.5, 0.0, 0.0, 0.8
2022, 3, 3, 13.7, 6.2, -0.1, 58.0, 1.6, 8.7, 0.0, 0.0, 1.1
2022, 3, 4, 17.5, 10.1, 2.5, 53.8, 3.2, 6.7, 0.0, 0.0, 6.4
2022, 3, 5, 9.1, 3.9, -0.4, 48.4, 4.2, 10.4, 0.0, 0.0, 0.0
2022, 3, 6, 7.8, 1.7, -2.9, 47.8, 1.8, 10.6, 0.0, 0.0, 1.5
2022, 3, 7, 10.9, 3.3, -2.0, 50.8, 1.1, 9.4, 0.0, 0.0, 3.3
2022, 3, 8, 13.8, 6.0, -1.8, 50.8, 1.5, 10.6, 0.0, 0.0, 1.1
2022, 3, 9, 16.9, 7.7, 0.7, 54.0, 1.4, 10.7, 0.0, 0.0, 0.0
2022, 3, 10, 18.3, 10.5, 2.4, 43.5, 1.6, 7.1, 0.0, 0.0, 6.4
2022, 3, 11, 20.5, 13.4, 6.5, 58.6, 1.4, 1.9, 0.0, 0.0, 6.3
