year, month, day, tmax, tavg, tmin, humid, wind, sunshine, rainfall, snow, cloud
2023, 1, 1, 5.9, 0.6, -3.0, 62.0, 1.6, 6.7, 0.0, 0.0, 2.8
2023, 1, 2, 2.0, -1.8, -4.0, 53.1, 1.5, 9.2, 0.0, 0.0, 3.1
2023, 1, 3, 2.9, -2.1, -7.2, 65.5, 1.6, 9.3, 0.0, 0.0, 0.0
2023, 1, 4, 5.6, 0.0, -5.4, 66.0, 1.5, 7.8, 0.0, 0.0, 1.3
2023, 1, 5, 7.7, 2.4, -2.6, 70.3, 1.1, 6.2, 0.0, 0.0, 5.3
2023, 1, 6, 8.5, 3.7, -1.4, 74.0, 1.3, 5.4, 2.9, 0.0, 4.5
2023, 1, 7, 6.8, 3.6, -1.0, 63.4, 3.1, 7.5, 0.0, 0.0, 4.3
2023, 1, 8, 9.4, 2.9, -2.3, 61.5, 1.3, 8.3, 0.0, 0.0, 0.0
2023, 1, 9, 9.3, 4.6, -0.3, 66.5, 1.7, 0.1, 0.0, 0.0, 4.6
2023, 1, 10, 8.5, 1.8, -4.2, 64.5, 1.0, 8.5, 0.0, 0.0, 2.5
2023, 1, 11, 11.3, 3.7, -2.2, 62.4, 1.1, 9.0, 0.0, 0.0, 0.0
2023, 1, 12, 17.0, 9.5, 0.2, 52.0, 1.3, 7.9, 0.4, 0.0, 3.0
2023, 1, 13, 15.0, 12.5, 8.3, 94.8, 1.8, 0.0, 21.5, 0.0, 10.0
2023, 1, 14, 8.3, 6.6, 4.2, 95.5, 1.4, 0.0, 0.8, 0.0, 10.0
2023, 1, 15, 4.8, 0.7, -2.3, 79.0, 2.9, 0.0, 0.9, 0.0, 8.8
2023, 1, 16, 1.1, -2.5, -4.6, 61.9, 1.9, 9.2, 0.0, 0.0, 1.8
2023, 1, 17, 3.1, -1.5, -5.8, 61.5, 1.3, 8.4, 0.0, 0.0, 3.8
2023, 1, 18, 5.3, 0.1, -3.0, 71.1, 1.2, 6.1, 0.0, 0.0, 4.1
2023, 1, 19, 7.0, 1.9, -4.1, 62.9, 1.4, 7.7, 0.0, 0.0, 4.6
2023, 1, 20, 5.8, 0.5, -4.4, 51.9, 3.1, 8.2, 0.0, 0.0, 3.8
2023, 1, 21, 3.0, -2.1, -7.0, 54.6, 1.3, 9.3, 0.0, 0.0, 0.9
2023, 1, 22, 6.6, 1.7, -3.3, 53.4, 0.9, 0.0, 0.0, 0.0, 8.6
2023, 1, 23, 8.5, 1.8, -2.2, 69.3, 2.2, 7.1, 0.0, 0.0, 5.6
2023, 1, 24, -1.3, -9.3, -12.5, 55.0, 4.5, 8.9, 0.2, 1.0, 4.1
2023, 1, 25, -3.5, -9.3, -15.0, 44.3, 1.4, 9.6, 0.0, 0.0, 0.0
2023, 1, 26, 2.8, -2.0, -8.7, 70.0, 1.6, 0.0, 0.1, 0.0, 9.5
2023, 1, 27, -0.6, -4.2, -6.9, 57.0, 2.8, 8.3, 0.0, 0.0, 1.4
2023, 1, 28, -0.6, -4.6, -9.4, 68.4, 1.1, 4.4, 0.0, 0.0, 3.6
2023, 1, 29, 5.5, 0.6, -6.0, 66.3, 2.4, 7.8, 0.0, 0.0, 2.6
2023, 1, 30, 5.6, 0.3, -4.0, 51.6, 1.6, 9.5, 0.0, 0.0, 0.0
2023, 1, 31, 10.7, 3.9, -2.8, 51.6, 2.1, 9.4, 0.0, 0.0, 0.4
2023, 2, 1, 9.2, 4.0, -1.7, 61.4, 2.6, 7.4, 0.0, 0.0, 6.6
2023, 2, 2, 4.0, -0.6, -4.2, 51.9, 1.6, 7.5, 0.0, 0.0, 7.1
2023, 2, 3, 3.7, -0.6, -3.1, 47.6, 1.4, 8.0, 0.0, 0.0, 4.6
2023, 2, 4, 6.2, 0.1, -5.7, 58.6, 1.4, 9.5, 0.0, 0.0, 0.5
2023, 2, 5, 8.3, 1.5, -4.7, 55.1, 1.2, 9.8, 0.0, 0.0, 0.0
2023, 2, 6, 11.3, 3.8, -3.7, 46.6, 1.1, 6.4, 0.0, 0.0, 5.3
2023, 2, 7, 12.2, 4.1, -1.2, 58.9, 1.3, 7.9, 0.0, 0.0, 3.1
2023, 2, 8, 8.3, 2.5, -1.1, 72.1, 1.1, 6.6, 0.0, 0.0, 4.4
2023, 2, 9, 13.0, 5.2, -2.7, 55.1, 1.2, 4.9, 1.3, 0.0, 7.3
2023, 2, 10, 8.6, 4.2, 1.6, 86.5, 1.1, 1.4, 3.6, 0.0, 9.1
2023, 2, 11, 8.3, 3.1, -1.0, 80.5, 0.9, 3.1, 0.0, 0.0, 6.5
2023, 2, 12, 7.6, 3.9, -1.1, 75.9, 0.8, 0.4, 0.0, 0.0, 7.1
2023, 2, 13, 12.5, 6.6, 3.2, 69.9, 1.5, 2.0, 0.0, 0.0, 8.3
2023, 2, 14, 7.0, 2.5, -0.6, 65.4, 1.7, 7.4, 0.0, 0.0, 4.0
2023, 2, 15, 8.5, 3.0, -2.0, 65.1, 1.0, 2.6, 0.0, 0.0, 7.6
2023, 2, 16, 6.3, 3.3, -0.5, 69.0, 1.2, 0.3, 0.0, 0.0, 6.4
2023, 2, 17, 7.4, 4.2, -1.1, 60.0, 0.8, 0.4, 0.0, 0.0, 9.0
2023, 2, 18, 10.0, 7.2, 5.3, 61.1, 0.7, 0.0, 0.9, 0.0, 10.0
2023, 2, 19, 6.3, 3.2, -0.7, 73.8, 2.8, 5.1, 2.9, 0.0, 5.3
2023, 2, 20, 6.4, 0.0, -3.2, 58.4, 3.0, 9.2, 0.0, 0.0, 1.1
2023, 2, 21, 5.0, -0.6, -5.1, 50.5, 1.5, 10.3, 0.0, 0.0, 1.3
2023, 2, 22, 9.7, 2.4, -4.4, 56.5, 1.5, 7.8, 0.1, 0.0, 5.1
2023, 2, 23, 10.7, 3.6, -1.6, 67.4, 1.3, 9.8, 0.8, 0.4, 6.0
2023, 2, 24, 10.9, 3.9, -0.2, 62.3, 2.2, 9.5, 0.0, 0.0, 3.4
2023, 2, 25, 6.5, 1.0, -3.1, 52.8, 1.8, 10.5, 0.0, 0.0, 0.0
2023, 2, 26, 9.0, 1.8, -5.0, 49.0, 1.4, 10.5, 0.0, 0.0, 0.0
2023, 2, 27, 14.2, 4.4, -2.9, 51.9, 1.5, 10.6, 0.0, 0.0, 0.0
2023, 2, 28, 14.9, 6.8, -1.1, 59.3, 1.7, 10.6, 0.0, 0.0, 2.1
2023, 3, 1, 11.4, 7.1, 3.1, 64.4, 2.3, 4.0, 0.0, 0.0, 5.3
2023, 3, 2, 8.3, 2.4, -0.8, 42.4, 2.5, 10.6, 0.0, 0.0, 0.0
2023, 3, 3, 12.1, 4.1, -3.4, 49.8, 1.6, 10.3, 0.0, 0.0, 2.1
2023, 3, 4, 16.3, 7.1, 0.2, 57.6, 1.3, 9.1, 0.0, 0.0, 5.0
2023, 3, 5, 16.7, 8.4, 1.5, 49.9, 1.3, 9.9, 0.0, 0.0, 1.3
2023, 3, 6, 17.8, 9.2, 2.0, 45.1, 1.6, 10.6, 0.0, 0.0, 0.0
2023, 3, 7, 21.6, 14.3, 6.5, 39.1, 2.4, 9.2, 0.0, 0.0, 2.0
2023, 3, 8, 21.3, 15.5, 8.5, 40.1, 2.0, 10.2, 0.0, 0.0, 2.9
2023, 3, 9, 19.6, 13.8, 6.4, 70.9, 1.7, 7.2, 0.0, 0.0, 5.3
2023, 3, 10, 24.6, 14.0, 2.6, 54.6, 1.2, 9.9, 0.0, 0.0, 1.3
2023, 3, 11, 25.8, 17.5, 11.1, 35.9, 1.7, 8.8, 0.0, 0.0, 5.1
2023, 3, 12, 15.1, 7.1, 1.6, 69.1, 3.1, 0.6, 11.4, 0.0, 7.5
2023, 3, 13, 8.8, 3.6, -1.7, 38.5, 1.7, 11.0, 0.0, 0.0, 0.9
2023, 3, 14, 18.7, 11.0, 2.4, 34.1, 2.2, 10.2, 0.0, 0.0, 1.0
2023, 3, 15, 20.6, 12.5, 6.8, 59.9, 3.1, 9.2, 0.0, 0.0, 4.5
2023, 3, 16, 13.0, 7.2, 2.2, 30.3, 2.6, 7.4, 0.0, 0.0, 6.3
2023, 3, 17, 11.5, 8.0, 3.7, 38.1, 1.1, 0.0, 0.0, 0.0, 9.8
2023, 3, 18, 15.0, 8.5, 4.9, 51.8, 1.8, 8.0, 0.0, 0.0, 3.4
2023, 3, 19, 16.9, 8.1, 1.2, 54.0, 1.4, 11.1, 0.0, 0.0, 1.5
2023, 3, 20, 18.9, 9.9, 2.2, 47.6, 1.5, 9.8, 0.0, 0.0, 4.5
2023, 3, 21, 23.8, 14.6, 5.9, 39.8, 1.2, 11.0, 0.0, 0.0, 2.5
2023, 3, 22, 25.8, 16.4, 9.3, 55.9, 1.2, 7.8, 3.4, 0.0, 6.4
2023, 3, 23, 16.9, 12.4, 9.1, 85.0, 1.1, 0.0, 12.2, 0.0, 9.3
2023, 3, 24, 17.7, 9.8, 7.2, 63.5, 1.2, 2.5, 0.0, 0.0, 8.3
2023, 3, 25, 14.1, 9.8, 6.5, 68.1, 1.0, 0.0, 0.0, 0.0, 9.4
2023, 3, 26, 16.1, 9.0, 4.6, 56.9, 1.9, 9.7, 0.0, 0.0, 2.5
2023, 3, 27, 14.4, 6.7, 0.8, 52.3, 1.4, 11.2, 0.0, 0.0, 0.6
2023, 3, 28, 16.3, 9.1, 1.9, 49.3, 1.5, 7.8, 0.0, 0.0, 1.9
2023, 3, 29, 21.4, 11.5, 3.0, 48.3, 1.5, 11.3, 0.0, 0.0, 1.3
2023, 3, 30, 23.9, 14.1, 5.7, 39.0, 1.6, 9.5, 0.0, 0.0, 5.8
2023, 3, 31, 24.1, 14.2, 6.2, 39.4, 1.6, 11.4, 0.0, 0.0, 0.0
2023, 4, 1, 26.1, 16.2, 7.3, 38.0, 1.6, 10.6, 0.0, 0.0, 1.6
2023, 4, 2, 25.1, 17.3, 9.5, 32.1, 1.8, 11.6, 0.0, 0.0, 0.0
2023, 4, 3, 26.2, 17.6, 8.1, 31.6, 2.0, 11.4, 0.0, 0.0, 3.8
2023, 4, 4, 23.1, 16.8, 13.0, 55.1, 2.1, 4.2, 9.3, 0.0, 8.9
2023, 4, 5, 17.7, 13.8, 9.1, 86.0, 3.5, 0.0, 13.8, 0.0, 10.0
2023, 4, 6, 10.7, 9.2, 7.6, 90.8, 1.9, 0.0, 7.0, 0.0, 10.0
2023, 4, 7, 0.0, 0.0, 0.0, 70.8, 2.4, 3.0, 0.8, 0.0, 5.4
2023, 4, 8, 15.1, 8.1, 1.0, 60.1, 2.6, 11.7, 0.0, 0.0, 0.4
2023, 4, 9, 17.8, 10.2, 3.1, 48.6, 1.9, 11.8, 0.0, 0.0, 0.0
2023, 4, 10, 22.2, 14.3, 4.5, 42.0, 2.0, 11.4, 0.0, 0.0, 0.0
2023, 4, 11, 22.4, 15.0, 10.3, 74.6, 2.8, 3.1, 0.9, 0.0, 7.5
2023, 4, 12, 17.7, 10.9, 6.9, 46.4, 1.9, 11.0, 0.0, 0.0, 0.0
2023, 4, 13, 23.9, 14.1, 4.6, 30.9, 1.4, 10.5, 0.0, 0.0, 1.3
2023, 4, 14, 20.8, 15.1, 7.8, 53.9, 1.0, 1.7, 0.4, 0.0, 8.8
2023, 4, 15, 16.9, 13.1, 9.4, 84.0, 1.3, 3.1, 3.0, 0.0, 8.1
2023, 4, 16, 18.0, 10.7, 7.2, 76.1, 1.4, 4.2, 0.9, 0.0, 5.8
2023, 4, 17, 22.4, 14.4, 5.1, 56.8, 1.4, 11.3, 0.0, 0.0, 2.1
2023, 4, 18, 19.2, 16.8, 15.1, 81.0, 1.8, 0.0, 0.4, 0.0, 9.8
2023, 4, 19, 27.5, 20.5, 13.7, 74.4, 1.2, 8.1, 0.0, 0.0, 5.9
2023, 4, 20, 26.5, 19.3, 13.7, 75.0, 1.5, 10.2, 0.0, 0.0, 2.8
2023, 4, 21, 24.9, 17.5, 13.4, 67.5, 1.4, 7.9, 0.0, 0.0, 5.6
2023, 4, 22, 24.7, 18.1, 13.9, 29.1, 1.5, 9.8, 0.0, 0.0, 4.8
