year, month, day, tmax, tavg, tmin, humid, wind, sunshine, rainfall, snow, cloud
1980, 1, 1, 7.0, 2.1, -4.2, 76.0, 1.5, 0.6, 0.0, 0.0, 9.5
1980, 1, 2, 6.6, 5.2, 4.2, 91.8, 1.9, 0.0, 12.8, 0.0, 10.0
1980, 1, 3, 6.6, 3.9, -0.2, 82.0, 1.8, 0.9, 0.0, 0.0, 8.8
1980, 1, 4, 0.6, -2.6, -6.2, 58.5, 2.7, 7.9, 0.0, 0.0, 4.3
1980, 1, 5, -0.6, -5.1, -10.4, 60.3, 1.3, 8.0, 0.0, 0.0, 2.5
1980, 1, 6, 5.6, -1.3, -7.8, 67.5, 3.4, 2.7, 0.2, 1.0, 6.0
1980, 1, 7, -3.6, -8.3, -11.6, 46.3, 2.1, 7.9, 0.0, 0.0, 0.0
1980, 1, 8, -0.6, -3.8, -7.8, 79.0, 2.0, 0.0, 2.1, 4.3, 10.0
1980, 1, 9, 4.4, -0.4, -2.0, 90.8, 1.2, 1.7, 3.3, 2.0, 6.5
1980, 1, 10, -0.9, -6.5, -10.7, 65.8, 2.9, 7.5, 0.0, 0.0, 0.5
1980, 1, 11, -0.2, -8.3, -13.7, 55.8, 1.0, 7.9, 0.0, 0.0, 0.0
1980, 1, 12, 1.5, -3.4, -6.8, 66.8, 1.3, 1.9, 0.0, 0.0, 9.5
1980, 1, 13, 1.2, -3.0, -6.8, 72.5, 2.1, 6.6, 0.0, 0.0, 2.3
1980, 1, 14, -1.2, -6.8, -10.9, 73.8, 1.2, 4.4, 0.4, 0.6, 1.3
1980, 1, 15, 1.3, -6.1, -11.2, 75.8, 1.5, 5.2, 2.7, 3.7, 4.5
1980, 1, 16, -2.3, -9.0, -16.0, 67.3, 1.1, 4.1, 0.0, 0.0, 4.3
1980, 1, 17, -7.3, -12.4, -15.1, 50.5, 3.1, 8.2, 0.0, 0.0, 0.0
1980, 1, 18, -3.7, -11.6, -18.0, 63.5, 0.6, 8.1, 0.0, 0.0, 0.0
1980, 1, 19, 0.0, -4.8, -8.8, 74.0, 0.7, 5.3, 0.3, 1.0, 5.0
1980, 1, 20, -0.9, -4.9, -9.0, 67.3, 2.0, 7.2, 0.2, 0.5, 2.3
1980, 1, 21, -2.5, -7.3, -10.4, 52.3, 2.8, 8.8, 0.0, 0.0, 0.0
1980, 1, 22, -2.9, -8.1, -14.3, 65.3, 1.2, 8.4, 0.0, 0.0, 0.0
1980, 1, 23, 5.3, -3.0, -10.6, 77.0, 1.5, 3.5, 0.0, 0.0, 4.5
1980, 1, 24, 2.3, -4.5, -10.1, 66.8, 1.4, 8.7, 0.0, 0.0, 0.0
1980, 1, 25, 4.6, -5.1, -12.0, 73.3, 0.6, 8.4, 0.0, 0.0, 0.0
1980, 1, 26, 10.1, -1.1, -9.3, 65.0, 0.8, 7.2, 0.0, 0.0, 3.3
1980, 1, 27, 9.4, 4.1, 1.3, 64.3, 0.5, 0.0, 0.0, 0.0, 10.0
1980, 1, 28, 11.7, 5.5, -0.2, 72.3, 1.3, 1.9, 0.0, 0.0, 9.5
1980, 1, 29, 6.2, 3.3, -0.8, 80.8, 1.8, 0.0, 8.0, 0.6, 10.0
1980, 1, 30, -0.8, -9.5, -12.8, 60.0, 5.8, 7.7, 0.0, 0.0, 4.3
1980, 1, 31, -6.7, -11.1, -14.6, 53.0, 3.2, 8.6, 0.0, 0.0, 0.5
1980, 2, 1, -4.5, -9.9, -15.4, 69.3, 1.2, 8.3, 0.0, 0.2, 3.3
1980, 2, 2, -2.4, -6.9, -11.0, 89.0, 1.8, 4.5, 2.3, 5.6, 7.0
1980, 2, 3, -1.7, -7.8, -13.0, 75.8, 1.6, 4.6, 0.8, 1.8, 5.8
1980, 2, 4, -5.9, -10.7, -16.0, 59.3, 1.2, 6.5, 0.0, 0.0, 4.8
1980, 2, 5, -6.1, -12.2, -16.4, 72.3, 1.2, 8.5, 0.0, 0.0, 2.8
1980, 2, 6, -8.0, -12.2, -17.1, 63.3, 1.8, 8.1, 0.0, 0.0, 0.5
1980, 2, 7, -6.8, -13.0, -19.0, 69.3, 1.3, 8.0, 0.0, 0.0, 2.0
